"Story","Title","Result","Date","Stability","Duration (s)"
"[08_Automation] - Comment","TC73 - Get comment products valid endpoints","SUCCESS","2023-10-31T04:23:51.0145251+07:00[Asia/Bangkok]","0.0","2.53"
"[08_Automation] - Comment","TC74 - Get comment for products invalid endpoints","SUCCESS","2023-10-31T04:23:53.5809886+07:00[Asia/Bangkok]","0.0","0.12"
"[08_Automation] - Comment","TC75 - Create a comment for products","SUCCESS","2023-10-31T04:23:53.7155751+07:00[Asia/Bangkok]","0.0","0.15"
"[08_Automation] - Comment","TC76 - Create a comment product invalid by ID with character symbols","SUCCESS","2023-10-31T04:23:53.8794226+07:00[Asia/Bangkok]","0.0","0.11"
"[08_Automation] - Comment","TC77 - Create a comment product invalid by ID with character alphabet","SUCCESS","2023-10-31T04:23:54.0076337+07:00[Asia/Bangkok]","0.0","0.11"
"[08_Automation] - Comment","TC78 - Create a comment for products with body parameter is empty","SUCCESS","2023-10-31T04:23:54.1299172+07:00[Asia/Bangkok]","0.0","0.12"
"[02_Automation] - Login","TC13 - Login valid account","SUCCESS","2023-10-31T04:23:54.2550122+07:00[Asia/Bangkok]","0.0","0.12"
"[02_Automation] - Login","TC14 - Login using valid account but empty email","SUCCESS","2023-10-31T04:23:54.3829289+07:00[Asia/Bangkok]","0.0","0.1"
"[02_Automation] - Login","TC15 - Login using valid account but empty password","SUCCESS","2023-10-31T04:23:54.4930211+07:00[Asia/Bangkok]","0.0","0.1"
"[02_Automation] - Login","TC16 - Login with valid account but change email with password and password with email","SUCCESS","2023-10-31T04:23:54.6023318+07:00[Asia/Bangkok]","0.0","0.11"
"[02_Automation] - Login","TC18 - Login without payload","SUCCESS","2023-10-31T04:23:54.7152377+07:00[Asia/Bangkok]","0.0","0.1"
"[02_Automation] - Login","TC19 - Login with invalid format payload","SUCCESS","2023-10-31T04:23:54.8192559+07:00[Asia/Bangkok]","0.0","0.1"
"[02_Automation] - Login","TC20 - Login with body parameter is empty","SUCCESS","2023-10-31T04:23:54.9289764+07:00[Asia/Bangkok]","0.0","0.1"
"[02_Automation] - Login","TC21 - Login with invalid HTTP method","SUCCESS","2023-10-31T04:23:55.0373052+07:00[Asia/Bangkok]","0.0","0.09"
