"Story","Title","Result","Date","Stability","Duration (s)"
"[04_Automation] - Product Categories","TC24 - Add new products categories","SUCCESS","2023-10-31T04:37:27.1328786+07:00[Asia/Bangkok]","0.0","0.59"
"[04_Automation] - Product Categories","TC25 - Add new products categories without description data payload","SUCCESS","2023-10-31T04:37:27.7302489+07:00[Asia/Bangkok]","0.0","0.12"
"[04_Automation] - Product Categories","TC26 - Add new products categories without name data payload","SUCCESS","2023-10-31T04:37:27.8579775+07:00[Asia/Bangkok]","0.0","0.11"
"[04_Automation] - Product Categories","TC27 - Add new products categories with invalid payload format","SUCCESS","2023-10-31T04:37:27.9750736+07:00[Asia/Bangkok]","0.0","0.12"
"[04_Automation] - Product Categories","TC28 -  Add new products categories with body parameter is empty","SUCCESS","2023-10-31T04:37:28.1020533+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC29 - Get all products categories","SUCCESS","2023-10-31T04:37:28.2105857+07:00[Asia/Bangkok]","0.0","0.13"
"[04_Automation] - Product Categories","TC30 - Get all products categories with invalid endpoints","SUCCESS","2023-10-31T04:37:28.3500101+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC31 - Get products categories by ID","SUCCESS","2023-10-31T04:37:28.4581186+07:00[Asia/Bangkok]","0.0","0.09"
"[04_Automation] - Product Categories","TC32 - Get products categories by invalid ID with character symbols","SUCCESS","2023-10-31T04:37:28.5514049+07:00[Asia/Bangkok]","0.0","0.09"
"[04_Automation] - Product Categories","TC33 - Get categories by invalid ID with character alphabet","SUCCESS","2023-10-31T04:37:28.647839+07:00[Asia/Bangkok]","0.0","0.09"
"[04_Automation] - Product Categories","TC34 - Delete a products categories","SUCCESS","2023-10-31T04:37:28.7445437+07:00[Asia/Bangkok]","0.0","0.11"
"[04_Automation] - Product Categories","TC35 - Delete a products categories by invalid ID with character symbols","SUCCESS","2023-10-31T04:37:28.8611552+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC36 - Delete a categories by invalid ID with character alphabet","SUCCESS","2023-10-31T04:37:28.9687377+07:00[Asia/Bangkok]","0.0","0.09"
