"Story","Title","Result","Date","Stability","Duration (s)"
"[08_Automation] - Comment","TC74 - Get comment for products invalid endpoints","SUCCESS","2023-10-31T04:37:24.715871+07:00[Asia/Bangkok]","0.0","0.13"
"[08_Automation] - Comment","TC75 - Create a comment for products","SUCCESS","2023-10-31T04:37:24.8783803+07:00[Asia/Bangkok]","0.0","0.15"
"[08_Automation] - Comment","TC76 - Create a comment product invalid by ID with character symbols","SUCCESS","2023-10-31T04:37:25.0380661+07:00[Asia/Bangkok]","0.0","0.11"
"[08_Automation] - Comment","TC77 - Create a comment product invalid by ID with character alphabet","SUCCESS","2023-10-31T04:37:25.1611033+07:00[Asia/Bangkok]","0.0","0.11"
"[08_Automation] - Comment","TC78 - Create a comment for products with body parameter is empty","SUCCESS","2023-10-31T04:37:25.279968+07:00[Asia/Bangkok]","0.0","0.11"
"[02_Automation] - Login","TC13 - Login valid account","SUCCESS","2023-10-31T04:37:25.4077143+07:00[Asia/Bangkok]","0.0","0.15"
"[02_Automation] - Login","TC14 - Login using valid account but empty email","SUCCESS","2023-10-31T04:37:25.5648779+07:00[Asia/Bangkok]","0.0","0.11"
"[02_Automation] - Login","TC15 - Login using valid account but empty password","SUCCESS","2023-10-31T04:37:25.6876554+07:00[Asia/Bangkok]","0.0","0.1"
"[02_Automation] - Login","TC16 - Login with valid account but change email with password and password with email","SUCCESS","2023-10-31T04:37:25.7975964+07:00[Asia/Bangkok]","0.0","0.09"
"[02_Automation] - Login","TC18 - Login without payload","SUCCESS","2023-10-31T04:37:25.8967881+07:00[Asia/Bangkok]","0.0","0.1"
"[02_Automation] - Login","TC19 - Login with invalid format payload","SUCCESS","2023-10-31T04:37:26.0038493+07:00[Asia/Bangkok]","0.0","0.1"
"[02_Automation] - Login","TC20 - Login with body parameter is empty","SUCCESS","2023-10-31T04:37:26.1112617+07:00[Asia/Bangkok]","0.0","0.1"
"[02_Automation] - Login","TC21 - Login with invalid HTTP method","SUCCESS","2023-10-31T04:37:26.221597+07:00[Asia/Bangkok]","0.0","0.1"
"[06_Automation] - Orders","TC56 - Add new orders","SUCCESS","2023-10-31T04:37:26.3314516+07:00[Asia/Bangkok]","0.0","0.12"
"[06_Automation] - Orders","TC57 - Add new orders without set the token","SUCCESS","2023-10-31T04:37:26.4620997+07:00[Asia/Bangkok]","0.0","0.11"
"[06_Automation] - Orders","TC60 - Get all orders","SUCCESS","2023-10-31T04:37:26.5772065+07:00[Asia/Bangkok]","0.0","0.11"
"[06_Automation] - Orders","TC61 - Get all orders without token","SUCCESS","2023-10-31T04:37:26.6898305+07:00[Asia/Bangkok]","0.0","0.11"
"[06_Automation] - Orders","TC62 - Get order by ID","SUCCESS","2023-10-31T04:37:26.8054796+07:00[Asia/Bangkok]","0.0","0.1"
"[06_Automation] - Orders","TC63 - Get orders by invalid ID with character symbols","SUCCESS","2023-10-31T04:37:26.9136563+07:00[Asia/Bangkok]","0.0","0.1"
"[06_Automation] - Orders","TC64 - Get orders by invalid ID with character alphabet","SUCCESS","2023-10-31T04:37:27.0217654+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC24 - Add new products categories","SUCCESS","2023-10-31T04:37:27.1328786+07:00[Asia/Bangkok]","0.0","0.59"
"[04_Automation] - Product Categories","TC25 - Add new products categories without description data payload","SUCCESS","2023-10-31T04:37:27.7302489+07:00[Asia/Bangkok]","0.0","0.12"
"[04_Automation] - Product Categories","TC26 - Add new products categories without name data payload","SUCCESS","2023-10-31T04:37:27.8579775+07:00[Asia/Bangkok]","0.0","0.11"
"[04_Automation] - Product Categories","TC27 - Add new products categories with invalid payload format","SUCCESS","2023-10-31T04:37:27.9750736+07:00[Asia/Bangkok]","0.0","0.12"
"[04_Automation] - Product Categories","TC28 -  Add new products categories with body parameter is empty","SUCCESS","2023-10-31T04:37:28.1020533+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC29 - Get all products categories","SUCCESS","2023-10-31T04:37:28.2105857+07:00[Asia/Bangkok]","0.0","0.13"
"[04_Automation] - Product Categories","TC30 - Get all products categories with invalid endpoints","SUCCESS","2023-10-31T04:37:28.3500101+07:00[Asia/Bangkok]","0.0","0.1"
