"Story","Title","Result","Date","Stability","Duration (s)"
"[04_Automation] - Product Categories","TC24 - Add new products categories","SUCCESS","2023-10-31T04:23:55.9230939+07:00[Asia/Bangkok]","0.0","0.72"
"[04_Automation] - Product Categories","TC25 - Add new products categories without description data payload","SUCCESS","2023-10-31T04:23:56.6475801+07:00[Asia/Bangkok]","0.0","0.12"
"[04_Automation] - Product Categories","TC26 - Add new products categories without name data payload","SUCCESS","2023-10-31T04:23:56.7765026+07:00[Asia/Bangkok]","0.0","0.12"
"[04_Automation] - Product Categories","TC27 - Add new products categories with invalid payload format","SUCCESS","2023-10-31T04:23:56.8982935+07:00[Asia/Bangkok]","0.0","0.13"
"[04_Automation] - Product Categories","TC28 -  Add new products categories with body parameter is empty","SUCCESS","2023-10-31T04:23:57.0332217+07:00[Asia/Bangkok]","0.0","0.11"
"[04_Automation] - Product Categories","TC29 - Get all products categories","SUCCESS","2023-10-31T04:23:57.1455949+07:00[Asia/Bangkok]","0.0","0.12"
"[04_Automation] - Product Categories","TC30 - Get all products categories with invalid endpoints","SUCCESS","2023-10-31T04:23:57.275817+07:00[Asia/Bangkok]","0.0","0.09"
"[04_Automation] - Product Categories","TC31 - Get products categories by ID","SUCCESS","2023-10-31T04:23:57.3704621+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC32 - Get products categories by invalid ID with character symbols","SUCCESS","2023-10-31T04:23:57.4765709+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC33 - Get categories by invalid ID with character alphabet","SUCCESS","2023-10-31T04:23:57.5783486+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC34 - Delete a products categories","SUCCESS","2023-10-31T04:23:57.6898492+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC35 - Delete a products categories by invalid ID with character symbols","SUCCESS","2023-10-31T04:23:57.796291+07:00[Asia/Bangkok]","0.0","0.09"
"[04_Automation] - Product Categories","TC36 - Delete a categories by invalid ID with character alphabet","SUCCESS","2023-10-31T04:23:57.8931356+07:00[Asia/Bangkok]","0.0","0.09"
