"Story","Title","Result","Date","Stability","Duration (s)"
"[05_Automation] - Product","TC37 - Get all products","SUCCESS","2023-10-31T04:37:29.0731098+07:00[Asia/Bangkok]","0.0","1.15"
"[05_Automation] - Product","TC38 - Get all products using invalid endpoints","SUCCESS","2023-10-31T04:37:30.2288501+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC39 - Add new products","SUCCESS","2023-10-31T04:37:30.32081+07:00[Asia/Bangkok]","0.0","0.11"
"[05_Automation] - Product","TC40 - Add new products without name payload","SUCCESS","2023-10-31T04:37:30.4342127+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC42 - Add new product with blank name payload","SUCCESS","2023-10-31T04:37:30.5278757+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC44 - Add new product with blank price payload","SUCCESS","2023-10-31T04:37:30.6203982+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC45 - Add new product with only space on price payload","SUCCESS","2023-10-31T04:37:30.7128367+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC48 - Add new product with body parameter is empty","SUCCESS","2023-10-31T04:37:30.8035568+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC49 - Add new products with invalid HTTP method","SUCCESS","2023-10-31T04:37:30.8968399+07:00[Asia/Bangkok]","0.0","0.08"
"[05_Automation] - Product","TC50 - Get products by ID","SUCCESS","2023-10-31T04:37:30.9863957+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC51 - Get product using invalid ID with character symbols","SUCCESS","2023-10-31T04:37:31.0848035+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC52 - Get categories by invalid ID with character alphabet","SUCCESS","2023-10-31T04:37:31.1762004+07:00[Asia/Bangkok]","0.0","0.1"
"[05_Automation] - Product","TC53 - Delete a products by ID","SUCCESS","2023-10-31T04:37:31.2801741+07:00[Asia/Bangkok]","0.0","0.09"
"[05_Automation] - Product","TC54 - Delete a products using invalid ID with character symbols","SUCCESS","2023-10-31T04:37:31.3741454+07:00[Asia/Bangkok]","0.0","0.08"
"[05_Automation] - Product","TC55 - Delete a products using invalid ID with character alphabet","SUCCESS","2023-10-31T04:37:31.4623896+07:00[Asia/Bangkok]","0.0","0.09"
