"Story","Title","Result","Date","Stability","Duration (s)"
"[08_Automation] - Comment","TC73 - Get comment products valid endpoints","SUCCESS","2023-11-03T01:28:01.2293692+07:00[Asia/Bangkok]","0.0","3.48"
"[08_Automation] - Comment","TC74 - Get comment for products invalid endpoints","SUCCESS","2023-11-03T01:28:04.749128+07:00[Asia/Bangkok]","0.0","0.15"
"[08_Automation] - Comment","TC75 - Create a comment for products","SUCCESS","2023-11-03T01:28:04.9240451+07:00[Asia/Bangkok]","0.0","0.18"
"[08_Automation] - Comment","TC76 - Create a comment product invalid by ID with character symbols","SUCCESS","2023-11-03T01:28:05.1238445+07:00[Asia/Bangkok]","0.0","0.13"
"[08_Automation] - Comment","TC77 - Create a comment product invalid by ID with character alphabet","SUCCESS","2023-11-03T01:28:05.2792305+07:00[Asia/Bangkok]","0.0","0.13"
"[08_Automation] - Comment","TC78 - Create a comment for products with body parameter is empty","SUCCESS","2023-11-03T01:28:05.4194402+07:00[Asia/Bangkok]","0.0","0.12"
"[02_Automation] - Login","TC13 - Login valid account","SUCCESS","2023-11-03T01:28:05.5719411+07:00[Asia/Bangkok]","0.0","0.26"
"[02_Automation] - Login","TC14 - Login using valid account but empty email","SUCCESS","2023-11-03T01:28:05.8391274+07:00[Asia/Bangkok]","0.0","0.12"
"[02_Automation] - Login","TC15 - Login using valid account but empty password","SUCCESS","2023-11-03T01:28:05.9705962+07:00[Asia/Bangkok]","0.0","0.12"
"[02_Automation] - Login","TC16 - Login with valid account but change email with password and password with email","SUCCESS","2023-11-03T01:28:06.0947854+07:00[Asia/Bangkok]","0.0","0.11"
"[02_Automation] - Login","TC17 - Login with valid account but change the email payload with fullname","SUCCESS","2023-11-03T01:28:06.2143983+07:00[Asia/Bangkok]","0.0","0.1"
"[02_Automation] - Login","TC18 - Login without payload","SUCCESS","2023-11-03T01:28:06.3231521+07:00[Asia/Bangkok]","0.0","0.1"
"[02_Automation] - Login","TC19 - Login with invalid format payload","SUCCESS","2023-11-03T01:28:06.431839+07:00[Asia/Bangkok]","0.0","0.11"
"[02_Automation] - Login","TC20 - Login with body parameter is empty","SUCCESS","2023-11-03T01:28:06.5565334+07:00[Asia/Bangkok]","0.0","0.12"
"[02_Automation] - Login","TC21 - Login with invalid HTTP method","SUCCESS","2023-11-03T01:28:06.6844075+07:00[Asia/Bangkok]","0.0","0.11"
"[06_Automation] - Orders","TC56 - Add new orders","SUCCESS","2023-11-03T01:28:06.8062679+07:00[Asia/Bangkok]","0.0","0.16"
"[06_Automation] - Orders","TC57 - Add new orders without set the token","SUCCESS","2023-11-03T01:28:06.9747452+07:00[Asia/Bangkok]","0.0","0.11"
"[06_Automation] - Orders","TC60 - Get all orders","SUCCESS","2023-11-03T01:28:07.0953145+07:00[Asia/Bangkok]","0.0","0.12"
"[06_Automation] - Orders","TC61 - Get all orders without token","SUCCESS","2023-11-03T01:28:07.2211902+07:00[Asia/Bangkok]","0.0","0.11"
"[06_Automation] - Orders","TC62 - Get order by ID","SUCCESS","2023-11-03T01:28:07.3347724+07:00[Asia/Bangkok]","0.0","0.11"
"[06_Automation] - Orders","TC63 - Get orders by invalid ID with character symbols","SUCCESS","2023-11-03T01:28:07.447258+07:00[Asia/Bangkok]","0.0","0.12"
"[06_Automation] - Orders","TC64 - Get orders by invalid ID with character alphabet","SUCCESS","2023-11-03T01:28:07.5703904+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC24 - Add new products categories","SUCCESS","2023-11-03T01:28:07.6851057+07:00[Asia/Bangkok]","0.0","0.8"
"[04_Automation] - Product Categories","TC25 - Add new products categories without description data payload","SUCCESS","2023-11-03T01:28:08.4906654+07:00[Asia/Bangkok]","0.0","0.14"
"[04_Automation] - Product Categories","TC26 - Add new products categories without name data payload","SUCCESS","2023-11-03T01:28:08.6374211+07:00[Asia/Bangkok]","0.0","0.14"
"[04_Automation] - Product Categories","TC27 - Add new products categories with invalid payload format","SUCCESS","2023-11-03T01:28:08.7815301+07:00[Asia/Bangkok]","0.0","0.14"
"[04_Automation] - Product Categories","TC28 -  Add new products categories with body parameter is empty","SUCCESS","2023-11-03T01:28:08.931702+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC29 - Get all products categories","SUCCESS","2023-11-03T01:28:09.0431729+07:00[Asia/Bangkok]","0.0","0.16"
"[04_Automation] - Product Categories","TC30 - Get all products categories with invalid endpoints","SUCCESS","2023-11-03T01:28:09.2127554+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC31 - Get products categories by ID","SUCCESS","2023-11-03T01:28:09.324439+07:00[Asia/Bangkok]","0.0","0.11"
"[04_Automation] - Product Categories","TC32 - Get products categories by invalid ID with character symbols","SUCCESS","2023-11-03T01:28:09.4474503+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC33 - Get categories by invalid ID with character alphabet","SUCCESS","2023-11-03T01:28:09.5559047+07:00[Asia/Bangkok]","0.0","0.09"
"[04_Automation] - Product Categories","TC34 - Delete a products categories","SUCCESS","2023-11-03T01:28:09.6616671+07:00[Asia/Bangkok]","0.0","0.1"
"[04_Automation] - Product Categories","TC35 - Delete a products categories by invalid ID with character symbols","SUCCESS","2023-11-03T01:28:09.7694942+07:00[Asia/Bangkok]","0.0","0.11"
"[04_Automation] - Product Categories","TC36 - Delete a categories by invalid ID with character alphabet","SUCCESS","2023-11-03T01:28:09.887605+07:00[Asia/Bangkok]","0.0","0.11"
"[05_Automation] - Product","TC37 - Get all products","SUCCESS","2023-11-03T01:28:10.0034265+07:00[Asia/Bangkok]","0.0","1.47"
"[05_Automation] - Product","TC38 - Get all products using invalid endpoints","SUCCESS","2023-11-03T01:28:11.4753478+07:00[Asia/Bangkok]","0.0","0.12"
"[05_Automation] - Product","TC39 - Add new products","SUCCESS","2023-11-03T01:28:11.5982937+07:00[Asia/Bangkok]","0.0","0.1"
